policy,cap_MB,hit_ratio
LRU,100,0.14791833466773419
LFU,100,0.147017614091273
KDE,100,0.1477181745396317
LSTM,100,0.14781825460368295
LRU,500,0.2805244195356285
LFU,500,0.27952361889511607
KDE,500,0.2773218574859888
LSTM,500,0.2776220976781425
LRU,1000,0.330164131305044
LFU,1000,0.3212570056044836
KDE,1000,0.31565252201761407
LSTM,1000,0.3160528422738191
